0.4799998, 0, 0, 15.85059, 4.529256, 0, 476.2803, -1272.454, -5.798054, 0.01928791, 0.1567104, 27.89206, 2.92007, 2.680418, 106.8379
1.309999, -0.03067486, -0.0242069, 40.30618, 5.494349, 0.1985301635656617154842979975, 4481.396, -1277.956, -5.798054, 0.01928791, 0.1567104, 85.71873, 2.92007, 2.66783, 109.3021
 
1.319999, -0.03030088, -0.02451365, 40.63433, 5.506531, 0.1939833114382641181832620025, 4562.953, -1278.024, -5.798054, 0.01928791, 0.1567104, 86.49826, 2.92007, 2.667679, 109.3318
 
1.329999, -0.02990596, -0.02481666, 40.96375, 5.519163, 0.18946013742250033923154, 4645.46, -1278.092, -5.798054, 0.01928791, 0.1567104, 87.27991, 2.92007, 2.667527, 109.3615
 
1.339999, -0.02949009, -0.02511572, 41.29374, 5.531578, 0.18496085974980961349222, 4728.913, -1278.16, -5.798054, 0.01928791, 0.1567104, 88.06355, 2.92007, 2.667375, 109.3912
 
1.349999, -0.02905309, -0.02541062, 41.62408, 5.543552, 0.18048493284158403339262, 4813.321, -1278.228, -5.798054, 0.01928791, 0.1567104, 88.84923, 2.92007, 2.667224, 109.4209
 
1.359999, -0.02859438, -0.02570115, 41.95569, 5.555979, 0.17603148377204920096490, 4898.693, -1278.297, -5.798054, 0.01928791, 0.1567104, 89.63699, 2.92007, 2.667072, 109.4506
 
1.369999, -0.02811394, -0.02598709, 42.28833, 5.568635, 0.17160094900409231519298, 4985.036, -1278.365, -5.798054, 0.01928791, 0.1567104, 90.42684, 2.92007, 2.66692, 109.4802
 
1.379999, -0.0276116, -0.02626823, 42.62109, 5.580627, 0.16719245561193897810902, 5072.348, -1278.433, -5.798054, 0.01928791, 0.1567104, 91.2187, 2.92007, 2.666769, 109.5099
 
1.389999, -0.02708712, -0.02654435, 42.95511, 5.593072, 0.16280687652136358768086, 5160.642, -1278.501, -5.798054, 0.01928791, 0.1567104, 92.01266, 2.92007, 2.666617, 109.5396
 
1.399999, -0.02654026, -0.02681522, 43.28995, 5.605523, 0.15844312057514814644870, 5249.922, -1278.569, -5.798054, 0.01928791, 0.1567104, 92.80868, 2.92007, 2.666466, 109.5693
 
1.409999, -0.02597067, -0.02708063, 43.62584, 5.618206, 0.15410075131040545542862, 5340.199, -1278.638, -5.798054, 0.01928791, 0.1567104, 93.60682, 2.92007, 2.666314, 109.599
 
1.419999, -0.02537837, -0.02734033, 43.96184, 5.630219, 0.14978020519002271360454, 5431.466, -1278.706, -5.798054, 0.01928791, 0.1567104, 94.40697, 2.92007, 2.666162, 109.6287
 
1.429999, -0.02476334, -0.02759412, 44.29911, 5.64269, 0.14548224602405251919832, 5523.741, -1278.775, -5.798054, 0.01928791, 0.1567104, 95.20925, 2.92007, 2.66601, 109.6584
 
1.439999, -0.02412511, -0.02784175, 44.63741, 5.655387, 0.14120611000244227398810, 5617.026, -1278.843, -5.798054, 0.01928791, 0.1567104, 96.0136, 2.92007, 2.665859, 109.6881
 
1.449999, -0.02346365, -0.028083, 44.97632, 5.667871, 0.136951142430861179498, 5711.331, -1278.912, -5.798054, 0.01928791, 0.1567104, 96.82006, 2.92007, 2.665707, 109.7178
 
1.459999, -0.02277875, -0.02831764, 45.316, 5.680357, 0.13271799800364003420390, 5806.648, -1278.98, -5.798054, 0.01928791, 0.1567104, 97.62854, 2.92007, 2.665555, 109.7474
 
1.469999, -0.02207067, -0.02854542, 45.6563, 5.692626, 0.12850744053083143632766, 5903, -1279.049, -5.798054, 0.01928791, 0.1567104, 98.43916, 2.92007, 2.665404, 109.7771
 
1.479999, -0.02133881, -0.02876613, 45.99809, 5.705575, 0.1243188153181045873934, 6000.388, -1279.118, -5.798054, 0.01928791, 0.1567104, 99.25189, 2.92007, 2.665252, 109.8068
 
1.489999, -0.02058353, -0.02897952, 46.34024, 5.71808, 0.1201527770597902858770, 6098.817, -1279.186, -5.798054, 0.01928791, 0.1567104, 100.0667, 2.92007, 2.665101, 109.8365
 
1.499999, -0.01980443, -0.02918535, 46.68321, 5.730591, 0.11600878017727953304856, 6198.292, -1279.255, -5.798054, 0.01928791, 0.1567104, 100.8837, 2.92007, 2.664949, 109.8662
 
1.509999, -0.01900158, -0.0293834, 47.02724, 5.743333, 0.11188747936490312738396, 6298.826, -1279.324, -5.798054, 0.01928791, 0.1567104, 101.7028, 2.92007, 2.664797, 109.8959
 
1.519999, -0.01817513, -0.02957341, 47.37185, 5.755857, 0.107789485670703147460688, 6400.42, -1279.393, -5.798054, 0.01928791, 0.1567104, 102.524, 2.92007, 2.664646, 109.9256
 
1.529999, -0.01732512, -0.02975516, 47.71751, 5.768611, 0.103715737489887071094172, 6503.077, -1279.462, -5.798054, 0.01928791, 0.1567104, 103.3473, 2.92007, 2.664494, 109.9553
 
1.539999, -0.01645148, -0.02992842, 48.06375, 5.781149, 0.0996656565091294687464397997, 6606.804, -1279.531, -5.798054, 0.01928791, 0.1567104, 104.1727, 2.92007, 2.664342, 109.985
 
