Time,Altitude,Velocity,Acceleration,Apogee,Predicted DP
2.007250000000110646e+01,5.413025041704199793e+03,1.353918107220585796e+02,-1.162276641920954923e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.007500000000110774e+01,5.413363504735648348e+03,1.353627543092342478e+02,-1.162186740910916605e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.007750000000110902e+01,5.413701895127340322e+03,1.353337001437371327e+02,-1.162096874845232541e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.008000000000111029e+01,5.414040212884893663e+03,1.353046482246922437e+02,-1.162007043833828135e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.008250000000111157e+01,5.414378458013924501e+03,1.352755985512252437e+02,-1.161917247653943264e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.008500000000111285e+01,5.414716630520045328e+03,1.352465511224693842e+02,-1.161827486027874734e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.008750000000111413e+01,5.415054730408868636e+03,1.352175059375551314e+02,-1.161737759410779169e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.009000000000111541e+01,5.415392757686002369e+03,1.351884629956091999e+02,-1.161648067618346758e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.009250000000111669e+01,5.415730712357054472e+03,1.351594222957615727e+02,-1.161558410588258106e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.009500000000111797e+01,5.416068594427629250e+03,1.351303838371412382e+02,-1.161468788481628067e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.009750000000111925e+01,5.416406403903329192e+03,1.351013476188751952e+02,-1.161379201263782335e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.010000000000112053e+01,5.416744140789754965e+03,1.350723136400936255e+02,-1.161289648788916828e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.010250000000112180e+01,5.417081805092504510e+03,1.350432818999287008e+02,-1.161200130946719078e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.010500000000112308e+01,5.417419396817173947e+03,1.350142523975113988e+02,-1.161110647969218057e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.010750000000112436e+01,5.417756915969356669e+03,1.349852251319723280e+02,-1.161021199716508434e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.011000000000112564e+01,5.418094362554645159e+03,1.349562001024410733e+02,-1.160931786349346950e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.011250000000112692e+01,5.418431736578628261e+03,1.349271773080477601e+02,-1.160842407672295273e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.011500000000112820e+01,5.418769038046893911e+03,1.348981567479253272e+02,-1.160753063616030012e+01,0.000000000000000000e+00,4.581279523927723196e-01
