Time,Altitude,Velocity,Acceleration,Apogee,Predicted DP
2.867000000000550486e+01,6.192640552619024675e+03,4.577323158048772456e+01,-9.947722303362308338e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.867250000000550614e+01,6.192754971579579433e+03,4.574836237365918379e+01,-9.947526317569300502e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.867500000000550742e+01,6.192869328367394701e+03,4.572349365673089494e+01,-9.947330443705018510e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.867750000000550870e+01,6.192983622983695568e+03,4.569862542942306760e+01,-9.947134681754208785e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.868000000000550997e+01,6.193097855429706215e+03,4.567375769145598952e+01,-9.946939031637944240e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.868250000000551125e+01,6.193212025706649911e+03,4.564889044255004791e+01,-9.946743493357482535e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.868500000000551253e+01,6.193326133815748108e+03,4.562402368242567974e+01,-9.946548066885332773e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.868750000000551381e+01,6.193440179758223167e+03,4.559915741080337170e+01,-9.946352752212238357e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.869000000000551509e+01,6.193554163535296539e+03,4.557429162740365314e+01,-9.946157549300865597e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.869250000000551637e+01,6.193668085148188766e+03,4.554942633194708179e+01,-9.945962458192971312e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.869500000000551765e+01,6.193781944598118571e+03,4.552456152415418700e+01,-9.945767478802764572e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.869750000000551893e+01,6.193895741886305586e+03,4.549969720374573257e+01,-9.945572611111957784e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.870000000000552021e+01,6.194009477013968535e+03,4.547483337044242546e+01,-9.945377855121581234e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.870250000000552149e+01,6.194123149982324321e+03,4.544997002396510055e+01,-9.945183210769927840e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.870500000000552276e+01,6.194236760792590758e+03,4.542510716403469928e+01,-9.944988678015540984e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.870750000000552404e+01,6.194350309445982930e+03,4.540024479037226968e+01,-9.944794256784387443e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.871000000000552532e+01,6.194463795943716832e+03,4.537538290269895924e+01,-9.944599947127768402e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.871250000000552660e+01,6.194577220287007549e+03,4.535052150073590127e+01,-9.944405748987435345e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.871500000000552788e+01,6.194690582477068347e+03,4.532566058420424326e+01,-9.944211662396094553e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.871750000000552916e+01,6.194803882515113401e+03,4.530080015282524641e+01,-9.944017687230267910e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.872000000000553044e+01,6.194917120402355067e+03,4.527594020632029981e+01,-9.943823823535733908e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.872250000000553172e+01,6.195030296140005703e+03,4.525108074441076411e+01,-9.943630071248065860e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.872500000000553300e+01,6.195143409729276755e+03,4.522622176681810657e+01,-9.943436430382998736e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.872750000000553428e+01,6.195256461171378760e+03,4.520136327326375181e+01,-9.943242900937404372e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.873000000000553555e+01,6.195369450467521347e+03,4.517650526346919548e+01,-9.943049482868127953e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.873250000000553683e+01,6.195482377618914143e+03,4.515164773715610380e+01,-9.942856176053965100e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.873500000000553811e+01,6.195595242626764957e+03,4.512679069404632770e+01,-9.942662980538424122e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.873750000000553939e+01,6.195708045492282508e+03,4.510193413386171812e+01,-9.942469896213331992e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.874000000000554067e+01,6.195820786216673696e+03,4.507707805632427522e+01,-9.942276923082864926e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.874250000000554195e+01,6.195933464801144510e+03,4.505222246115607732e+01,-9.942084061079148327e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.874500000000554323e+01,6.196046081246900940e+03,4.502736734807923824e+01,-9.941891310274007409e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.874750000000554451e+01,6.196158635555148066e+03,4.500251271681578658e+01,-9.941698670627090451e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.875000000000554579e+01,6.196271127727090970e+03,4.497765856708780063e+01,-9.941506142138941016e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.875250000000554707e+01,6.196383557763932004e+03,4.495280489861741557e+01,-9.941313724775451277e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.875500000000554834e+01,6.196495925666875337e+03,4.492795171112680919e+01,-9.941121418530512344e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.875750000000554962e+01,6.196608231437122413e+03,4.490309900433818768e+01,-9.940929223407119153e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.876000000000555090e+01,6.196720475075875584e+03,4.487824677797377859e+01,-9.940737139368062358e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.876250000000555218e+01,6.196832656584335382e+03,4.485339503175588760e+01,-9.940545166375452268e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.876500000000555346e+01,6.196944775963702341e+03,4.482854376540703356e+01,-9.940353304322714578e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.876750000000555474e+01,6.197056833215175175e+03,4.480369297864984901e+01,-9.940161553215117962e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.877000000000555602e+01,6.197168828339953507e+03,4.477884267120690254e+01,-9.939969913092657094e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.877250000000555730e+01,6.197280761339235141e+03,4.475399284280079115e+01,-9.939778383900685910e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.877500000000555858e+01,6.197392632214217883e+03,4.472914349315421845e+01,-9.939586965607460911e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.877750000000555985e+01,6.197504440966097718e+03,4.470429462199001591e+01,-9.939395658117007315e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.878000000000556113e+01,6.197616187596070631e+03,4.467944622903121399e+01,-9.939204461409097746e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.878250000000556241e+01,6.197727872105332608e+03,4.465459831400087864e+01,-9.939013375468443101e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.878500000000556369e+01,6.197839494495078725e+03,4.462975087662209717e+01,-9.938822400263253698e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.878750000000556497e+01,6.197951054766502239e+03,4.460490391661806342e+01,-9.938631535765546587e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.879000000000556625e+01,6.198062552920796406e+03,4.458005743371204233e+01,-9.938440781930435008e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.879250000000556753e+01,6.198173988959153576e+03,4.455521142762735565e+01,-9.938250138783681464e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.879500000000556881e+01,6.198285362882766094e+03,4.453036589808735357e+01,-9.938059606232064525e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.879750000000557009e+01,6.198396674692825400e+03,4.450552084481544313e+01,-9.937869184357234431e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.880000000000557137e+01,6.198507924390522021e+03,4.448067626753503134e+01,-9.937678873073535257e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.880250000000557264e+01,6.198619111977045577e+03,4.445583216596973841e+01,-9.937488672299362946e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.880500000000557392e+01,6.198730237453584778e+03,4.443098853984319163e+01,-9.937298582093582411e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.880750000000557520e+01,6.198841300821328332e+03,4.440614538887901119e+01,-9.937108602425682946e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.881000000000557648e+01,6.198952302081464040e+03,4.438130271280090966e+01,-9.936918733239915369e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.881250000000557776e+01,6.199063241235178793e+03,4.435646051133264933e+01,-9.936728974544351445e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.881500000000557904e+01,6.199174118283659482e+03,4.433161878419800672e+01,-9.936539326324576038e+00,0.000000000000000000e+00,2.311043371131999424e-01
