positionX,positionY,positionZ,positionW,position,positionPrint,worldPos,velocityX,velocityY,velocityZ,velocityW,velocity,velocityPrint,orientRotAxisX,orientRotAxisY,orientRotAxisZ,orientRotAxis,orientAngle,orient,orientPrint,rotVelX,rotVelY,rotVelZ,rotVel,liftoff,apogee,motorIgn,lnchRdClr,finCantAngleDeg,time
-3.066532942533759,-6.751026272390957e-05,227.85655278899017,,"(-3.06653,-0.00007,227.85655,w=12500.00000)","x: -3.066532942533759, y: -6.751026272390957E-5, z: 227.85655278899017, w: 12500.0","WorldCoordinate[lat=28.609999999389245, lon=-80.60003141361396, alt=227.85655278899017]",-1.0347136824445529,-0.0001387281406259185,18.07426631677493,,"(-1.03471,-0.00014,18.07427)","x: -1.0347136824445529, y: -1.387281406259185E-4, z: 18.07426631677493, w: 0.0",0.00014443187614440652,0.9999999895638354,5.3131822134825e-06,"(0.00014,1.00000,0.00001)",0.055726210219742424,"Quaternion[0.999612,0.000004,0.027859,0.000000,norm=1.000000]","Axis: [1.4443187614440652E-4, 0.9999999895638354, 5.3131822134825E-6], Angle: 0.055726210219742424",2.9346810590927006e-06,0.02665736122597721,1.0949389871840751e-07,"(0.00000,0.02666,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.362499999999982
-3.0691199722566607,-6.785731476116394e-05,227.9017049309508,,"(-3.06912,-0.00007,227.90170,w=12500.00000)","x: -3.0691199722566607, y: -6.785731476116394E-5, z: 227.9017049309508, w: 12500.0","WorldCoordinate[lat=28.609999999386122, lon=-80.60003144011553, alt=227.9017049309508]",-1.0349138202863861,-0.00013891357800383441,18.047477515242,,"(-1.03491,-0.00014,18.04748)","x: -1.0349138202863861, y: -1.3891357800383441E-4, z: 18.047477515242, w: 0.0",0.00014439574262946955,0.9999999895690427,5.3103867876699705e-06,"(0.00014,1.00000,0.00001)",0.055792923861541575,"Quaternion[0.999611,0.000004,0.027893,0.000000,norm=1.000000]","Axis: [1.4439574262946955E-4, 0.9999999895690427, 5.3103867876699705E-6], Angle: 0.055792923861541575",3.0089569904936486e-06,0.026718774498329108,1.026728404435004e-07,"(0.00000,0.02672,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.3649999999999824
-3.071707502282196,-6.820482928689152e-05,227.94679010982912,,"(-3.07171,-0.00007,227.94679,w=12500.00000)","x: -3.071707502282196, y: -6.820482928689152E-5, z: 227.94679010982912, w: 12500.0","WorldCoordinate[lat=28.609999999382985, lon=-80.60003146662224, alt=227.94679010982912]",-1.0351139148901387,-0.0001390981356753956,18.020695848609442,,"(-1.03511,-0.00014,18.02070)","x: -1.0351139148901387, y: -1.390981356753956E-4, z: 18.020695848609442, w: 0.0",0.00014436822848502145,0.999999989573021,5.307203418020354e-06,"(0.00014,1.00000,0.00001)",0.05585979128153706,"Quaternion[0.999610,0.000004,0.027926,0.000000,norm=1.000000]","Axis: [1.4436822848502145E-4, 0.999999989573021, 5.307203418020354E-6], Angle: 0.05585979128153706",3.4263077617179746e-06,0.0267803169494031,7.66820623333251e-08,"(0.00000,0.02678,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.367499999999983
-3.074295532503259,-6.855280415599379e-05,227.99180834344673,,"(-3.07430,-0.00007,227.99181,w=12500.00000)","x: -3.074295532503259, y: -6.855280415599379E-5, z: 227.99180834344673, w: 12500.0","WorldCoordinate[lat=28.609999999379855, lon=-80.60003149313405, alt=227.99180834344673]",-1.0353139670291376,-0.00013928185637955096,17.993921304402715,,"(-1.03531,-0.00014,17.99392)","x: -1.0353139670291376, y: -1.3928185637955096E-4, z: 17.993921304402715, w: 0.0",0.0001443500207734158,0.9999999895757052,5.3036138906090655e-06,"(0.00014,1.00000,0.00001)",0.05592681268392559,"Quaternion[0.999609,0.000004,0.027960,0.000000,norm=1.000000]","Axis: [1.443500207734158E-4, 0.9999999895757052, 5.3036138906090655E-6], Angle: 0.05592681268392559",3.4159919676076116e-06,0.026841759453164974,7.460174803626627e-08,"(0.00000,0.02684,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.369999999999983
-3.076884062814706,-6.890123730231011e-05,228.03675964959413,,"(-3.07688,-0.00007,228.03676,w=12500.00000)","x: -3.076884062814706, y: -6.890123730231011E-5, z: 228.03675964959413, w: 12500.0","WorldCoordinate[lat=28.60999999937671, lon=-80.600031519651, alt=228.03675964959413]",-1.0355139775311488,-0.0001394647499836019,17.967153870162626,,"(-1.03551,-0.00014,17.96715)","x: -1.0355139775311488, y: -1.394647499836019E-4, z: 17.967153870162626, w: 0.0",0.0001443168809320486,0.9999999895804758,5.30029717174586e-06,"(0.00014,1.00000,0.00001)",0.05599398754596263,"Quaternion[0.999608,0.000004,0.027993,0.000000,norm=1.000000]","Axis: [1.443168809320486E-4, 0.9999999895804758, 5.30029717174586E-6], Angle: 0.05599398754596263",2.9842373737098336e-06,0.02690325799969581,9.613389902617077e-08,"(0.00000,0.02690,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.372499999999984
-3.079473093113533,-6.925012658191403e-05,228.08164404603068,,"(-3.07947,-0.00007,228.08164,w=12500.00000)","x: -3.079473093113533, y: -6.925012658191403E-5, z: 228.08164404603068, w: 12500.0","WorldCoordinate[lat=28.60999999937357, lon=-80.60003154617307, alt=228.08164404603068]",-1.035713947261391,-0.00013964676257278522,17.940393533444432,,"(-1.03571,-0.00014,17.94039)","x: -1.035713947261391, y: -1.3964676257278522E-4, z: 17.940393533444432, w: 0.0",0.00014427285965719415,0.9999999895868149,5.297140547331574e-06,"(0.00014,1.00000,0.00001)",0.05606131696618508,"Quaternion[0.999607,0.000004,0.028027,0.000000,norm=1.000000]","Axis: [1.4427285965719415E-4, 0.9999999895868149, 5.297140547331574E-6], Angle: 0.05606131696618508",2.9018599848792937e-06,0.02696535811949957,9.811593114688656e-08,"(0.00000,0.02697,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.374999999999984
-3.0820626232988357,-6.959946975689027e-05,228.12646155048463,,"(-3.08206,-0.00007,228.12646,w=12500.00000)","x: -3.0820626232988357, y: -6.959946975689027E-5, z: 228.12646155048463, w: 12500.0","WorldCoordinate[lat=28.609999999370423, lon=-80.60003157270026, alt=228.12646155048463]",-1.0359138770286,-0.00013982786994517,17.913640281812707,,"(-1.03591,-0.00014,17.91364)","x: -1.0359138770286, y: -1.3982786994517E-4, z: 17.913640281812707, w: 0.0",0.00014421888932663636,0.9999999895945328,5.294119401505172e-06,"(0.00014,1.00000,0.00001)",0.05612880111766942,"Quaternion[0.999606,0.000004,0.028061,0.000000,norm=1.000000]","Axis: [1.4421888932663636E-4, 0.9999999895945328, 5.294119401505172E-6], Angle: 0.05612880111766942",2.627409841976573e-06,0.027027153832147505,1.1089389322535318e-07,"(0.00000,0.02703,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.377499999999984
-3.0846526532717666,-6.994926453499033e-05,228.17121218065319,,"(-3.08465,-0.00007,228.17121,w=12500.00000)","x: -3.0846526532717666, y: -6.994926453499033E-5, z: 228.17121218065319, w: 12500.0","WorldCoordinate[lat=28.609999999367272, lon=-80.60003159923258, alt=228.17121218065319]",-1.0361137676909657,-0.00014000802632454688,17.88689410284705,,"(-1.03611,-0.00014,17.88689)","x: -1.0361137676909657, y: -1.4000802632454688E-4, z: 17.88689410284705, w: 0.0",0.00014415080677110932,0.999999989604336,5.291352007268525e-06,"(0.00014,1.00000,0.00001)",0.05619644036386674,"Quaternion[0.999605,0.000004,0.028095,0.000000,norm=1.000000]","Axis: [1.4415080677110932E-4, 0.999999989604336, 5.291352007268525E-6], Angle: 0.05619644036386674",2.2460801386141587e-06,0.02708955539550598,1.2971513687833286e-07,"(0.00000,0.02709,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.379999999999985
-3.087243182935614,-7.029950849497044e-05,228.2158959542025,,"(-3.08724,-0.00007,228.21590,w=12500.00000)","x: -3.087243182935614, y: -7.029950849497044E-5, z: 228.2158959542025, w: 12500.0","WorldCoordinate[lat=28.609999999364113, lon=-80.60003162577, alt=228.2158959542025]",-1.0363136200870884,-0.0001401872233801553,17.860154984138347,,"(-1.03631,-0.00014,17.86015)","x: -1.0363136200870884, y: -1.401872233801553E-4, z: 17.860154984138347, w: 0.0",0.00014408975075956497,0.9999999896132881,5.288244979386647e-06,"(0.00014,1.00000,0.00001)",0.056264235494728095,"Quaternion[0.999604,0.000004,0.028128,0.000000,norm=1.000000]","Axis: [1.4408975075956497E-4, 0.9999999896132881, 5.288244979386647E-6], Angle: 0.056264235494728095",2.5736776983222785e-06,0.027151651539230787,1.0867712072930807e-07,"(0.00000,0.02715,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.382499999999985
-3.0898342121957834,-7.065019928130901e-05,228.2605128887677,,"(-3.08983,-0.00007,228.26051,w=12500.00000)","x: -3.0898342121957834, y: -7.065019928130901E-5, z: 228.2605128887677, w: 12500.0","WorldCoordinate[lat=28.609999999360955, lon=-80.60003165231255, alt=228.2605128887677]",-1.036513435078814,-0.00014036549092180325,17.833422913291034,,"(-1.03651,-0.00014,17.83342)","x: -1.036513435078814, y: -1.4036549092180325E-4, z: 17.833422913291034, w: 0.0",0.00014402963498835085,0.9999999896219282,5.2849709924769e-06,"(0.00014,1.00000,0.00001)",0.056332186123486234,"Quaternion[0.999603,0.000004,0.028162,0.000000,norm=1.000000]","Axis: [1.4402963498835085E-4, 0.9999999896219282, 5.2849709924769E-6], Angle: 0.056332186123486234",2.6898746456287908e-06,0.027214060045143176,9.952978001118294e-08,"(0.00000,0.02721,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.384999999999986
-3.092425740959855,-7.100133460818879e-05,228.30506300195296,,"(-3.09243,-0.00007,228.30506,w=12500.00000)","x: -3.092425740959855, y: -7.100133460818879E-5, z: 228.30506300195296, w: 12500.0","WorldCoordinate[lat=28.60999999935779, lon=-80.6000316788602, alt=228.30506300195296]",-1.0367132135267592,-0.00014054285820368646,17.806697877921785,,"(-1.03671,-0.00014,17.80670)","x: -1.0367132135267592, y: -1.4054285820368646E-4, z: 17.806697877921785, w: 0.0",0.00014398110769127628,0.9999999896290495,5.281230788455492e-06,"(0.00014,1.00000,0.00001)",0.05640029379458289,"Quaternion[0.999602,0.000004,0.028196,0.000000,norm=1.000000]","Axis: [1.4398110769127628E-4, 0.9999999896290495, 5.281230788455492E-6], Angle: 0.05640029379458289",2.8557803478388225e-06,0.027277345049535513,8.759501882816652e-08,"(0.00000,0.02728,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.387499999999986
-3.0950177691374687,-7.135291225486436e-05,228.34954631133152,,"(-3.09502,-0.00007,228.34955,w=12500.00000)","x: -3.0950177691374687, y: -7.135291225486436E-5, z: 228.34954631133152, w: 12500.0","WorldCoordinate[lat=28.609999999354624, lon=-80.60003170541299, alt=228.34954631133152]",-1.0369129562215296,-0.00014071935071124003,17.779979865655704,,"(-1.03691,-0.00014,17.77998)","x: -1.0369129562215296, y: -1.4071935071124003E-4, z: 17.779979865655704, w: 0.0",0.00014392625161691936,0.9999999896369511,5.27753044012021e-06,"(0.00014,1.00000,0.00001)",0.05646855963671501,"Quaternion[0.999601,0.000004,0.028231,0.000000,norm=1.000000]","Axis: [1.4392625161691936E-4, 0.9999999896369511, 5.27753044012021E-6], Angle: 0.05646855963671501",2.414597123129489e-06,0.027340406696704168,1.0995401402346504e-07,"(0.00000,0.02734,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.389999999999986
-3.0976102966402475,-7.170493000151981e-05,228.3939628344457,,"(-3.09761,-0.00007,228.39396,w=12500.00000)","x: -3.0976102966402475, y: -7.170493000151981E-5, z: 228.3939628344457, w: 12500.0","WorldCoordinate[lat=28.609999999351448, lon=-80.60003173197089, alt=228.3939628344457]",-1.0371126639774768,-0.00014089492087571964,17.753268864131414,,"(-1.03711,-0.00014,17.75327)","x: -1.0371126639774768, y: -1.4089492087571964E-4, z: 17.753268864131414, w: 0.0",0.00014386497016561348,0.9999999896458027,5.273873411793924e-06,"(0.00014,1.00000,0.00001)",0.05653698274711118,"Quaternion[0.999600,0.000004,0.028265,0.000000,norm=1.000000]","Axis: [1.4386497016561348E-4, 0.9999999896458027, 5.273873411793924E-6], Angle: 0.05653698274711118",2.688398548794327e-06,0.02740339773238052,9.19068372657403e-08,"(0.00000,0.02740,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.392499999999987
-3.100203323381956,-7.205738553699329e-05,228.43831258880687,,"(-3.10020,-0.00007,228.43831,w=12500.00000)","x: -3.100203323381956, y: -7.205738553699329E-5, z: 228.43831258880687, w: 12500.0","WorldCoordinate[lat=28.60999999934828, lon=-80.60003175853389, alt=228.43831258880687]",-1.0373123376768785,-0.00014106959130200515,17.72656486100345,,"(-1.03731,-0.00014,17.72656)","x: -1.0373123376768785, y: -1.4106959130200515E-4, z: 17.72656486100345, w: 0.0",0.00014379949922460267,0.9999999896552553,5.2701980902049655e-06,"(0.00014,1.00000,0.00001)",0.0566055639907543,"Quaternion[0.999600,0.000004,0.028299,0.000000,norm=1.000000]","Axis: [1.4379949922460267E-4, 0.9999999896552553, 5.2701980902049655E-6], Angle: 0.0566055639907543",2.2538848750070727e-06,0.027466825682119257,1.1396651178934043e-07,"(0.00000,0.02747,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.394999999999987
-3.1027968492784748,-7.24102765828796e-05,228.48259559189563,,"(-3.10280,-0.00007,228.48260,w=12500.00000)","x: -3.1027968492784748, y: -7.24102765828796E-5, z: 228.48259559189563, w: 12500.0","WorldCoordinate[lat=28.609999999345092, lon=-80.60003178510202, alt=228.48259559189563]",-1.0375119781312392,-0.0001412433239463243,17.69986784393467,,"(-1.03751,-0.00014,17.69987)","x: -1.0375119781312392, y: -1.412433239463243E-4, z: 17.69986784393467, w: 0.0",0.00014372223474415328,0.9999999896665489,5.266720328876701e-06,"(0.00014,1.00000,0.00001)",0.05667430452804401,"Quaternion[0.999599,0.000004,0.028333,0.000000,norm=1.000000]","Axis: [1.4372223474415328E-4, 0.9999999896665489, 5.266720328876701E-6], Angle: 0.05667430452804401",2.00236716253485e-06,0.02753078778519089,1.2569967401757604e-07,"(0.00000,0.02753,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.3974999999999875
-3.105390874247705,-7.276360075451786e-05,228.52681186116172,,"(-3.10539,-0.00007,228.52681,w=12500.00000)","x: -3.105390874247705, y: -7.276360075451786E-5, z: 228.52681186116172, w: 12500.0","WorldCoordinate[lat=28.60999999934191, lon=-80.60003181167525, alt=228.52681186116172]",-1.0377115861444428,-0.00014141609573189423,17.67317780059966,,"(-1.03771,-0.00014,17.67318)","x: -1.0377115861444428, y: -1.4141609573189423E-4, z: 17.67317780059966, w: 0.0",0.00014363667405871736,0.9999999896788228,5.263342256246888e-06,"(0.00014,1.00000,0.00001)",0.056743205342227154,"Quaternion[0.999598,0.000004,0.028368,0.000000,norm=1.000000]","Axis: [1.4363667405871736E-4, 0.9999999896788228, 5.263342256246888E-6], Angle: 0.056743205342227154",1.8613787827762413e-06,0.027595102295084262,1.311888091426256e-07,"(0.00000,0.02760,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.399999999999988
-3.1079853982095043,-7.311735563884983e-05,228.57096141402408,,"(-3.10799,-0.00007,228.57096,w=12500.00000)","x: -3.1079853982095043, y: -7.311735563884983E-5, z: 228.57096141402408, w: 12500.0","WorldCoordinate[lat=28.609999999338722, lon=-80.6000318382536, alt=228.57096141402408]",-1.0379111624860724,-0.00014158788958291456,17.646494718683257,,"(-1.03791,-0.00014,17.64649)","x: -1.0379111624860724, y: -1.4158788958291456E-4, z: 17.646494718683257, w: 0.0",0.0001435564491488184,0.9999999896904243,5.2596780781357405e-06,"(0.00014,1.00000,0.00001)",0.05681226651973883,"Quaternion[0.999597,0.000004,0.028402,0.000000,norm=1.000000]","Axis: [1.435564491488184E-4, 0.9999999896904243, 5.2596780781357405E-6], Angle: 0.05681226651973883",2.3796450444170917e-06,0.027658953868182807,9.921778368623621e-08,"(0.00000,0.02766,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.402499999999988
-3.1105804210857366,-7.347153884143416e-05,228.61504426787087,,"(-3.11058,-0.00007,228.61504,w=12500.00000)","x: -3.1105804210857366, y: -7.347153884143416E-5, z: 228.61504426787087, w: 12500.0","WorldCoordinate[lat=28.609999999335525, lon=-80.60003186483706, alt=228.61504426787087]",-1.0381107079965228,-0.00014175876799063874,17.619818585886264,,"(-1.03811,-0.00014,17.61982)","x: -1.0381107079965228, y: -1.4175876799063874E-4, z: 17.619818585886264, w: 0.0",0.00014349556078934342,0.9999999896989945,5.25533090859844e-06,"(0.00014,1.00000,0.00001)",0.05688148819739206,"Quaternion[0.999596,0.000004,0.028437,0.000000,norm=1.000000]","Axis: [1.4349556078934342E-4, 0.9999999896989945, 5.25533090859844E-6], Angle: 0.05688148819739206",2.70888994100031e-06,0.02772347955035073,7.798411922983246e-08,"(0.00000,0.02772,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.404999999999989
-3.1131759428003347,-7.382614817006569e-05,228.65906044005953,,"(-3.11318,-0.00007,228.65906,w=12500.00000)","x: -3.1131759428003347, y: -7.382614817006569E-5, z: 228.65906044005953, w: 12500.0","WorldCoordinate[lat=28.609999999332338, lon=-80.60003189142562, alt=228.65906044005953]",-1.0383102234822446,-0.00014192878170219547,17.593149389919706,,"(-1.03831,-0.00014,17.59315)","x: -1.0383102234822446, y: -1.4192878170219547E-4, z: 17.593149389919706, w: 0.0",0.00014344372014524226,0.9999999897064559,5.250594061168721e-06,"(0.00014,1.00000,0.00001)",0.05695087098694014,"Quaternion[0.999595,0.000004,0.028472,0.000000,norm=1.000000]","Axis: [1.4344372014524226E-4, 0.9999999897064559, 5.250594061168721E-6], Angle: 0.05695087098694014",2.891475849956478e-06,0.027787656876163302,6.508747617554195e-08,"(0.00000,0.02779,0.00000)",True,False,True,True,-2.6983181920373547e-07,4.407499999999989
